author,top_emotions,top_emotions_pct,strong_emotions,moderate_emotions,weak_emotions,top_emotions_labeled
Gwynnether,"[""caring"", ""disgust"", ""admiration""]","[28.57, 28.57, 25.0]",[],"[""caring"", ""disgust"", ""admiration""]",[],"[""caring (moderata: 28.57%)"", ""disgust (moderata: 28.57%)"", ""admiration (moderata: 25.00%)""]"
GypsyGirl84,"[""curiosity"", ""approval"", ""amusement""]","[33.33, 25.0, 16.67]",[],"[""curiosity"", ""approval""]","[""amusement""]","[""curiosity (moderata: 33.33%)"", ""approval (moderata: 25.00%)"", ""amusement (debole: 16.67%)""]"
HOW_HARD_ROCK_HARD,"[""curiosity"", ""approval"", ""annoyance""]","[38.1, 23.81, 14.29]",[],"[""curiosity""]","[""approval"", ""annoyance""]","[""curiosity (moderata: 38.10%)"", ""approval (debole: 23.81%)"", ""annoyance (debole: 14.29%)""]"
HakaseDaNya,"[""approval"", ""caring"", ""desire""]","[30.43, 17.39, 13.04]",[],"[""approval""]","[""caring"", ""desire""]","[""approval (moderata: 30.43%)"", ""caring (debole: 17.39%)"", ""desire (debole: 13.04%)""]"
HalfAlienRobot,"[""gratitude"", ""amusement"", ""admiration""]","[32.0, 24.0, 16.0]",[],"[""gratitude""]","[""amusement"", ""admiration""]","[""gratitude (moderata: 32.00%)"", ""amusement (debole: 24.00%)"", ""admiration (debole: 16.00%)""]"
HalfwayHoagie,"[""annoyance"", ""disapproval"", ""approval""]","[46.15, 42.31, 23.08]",[],"[""annoyance"", ""disapproval""]","[""approval""]","[""annoyance (moderata: 46.15%)"", ""disapproval (moderata: 42.31%)"", ""approval (debole: 23.08%)""]"
Halosonic,"[""approval"", ""curiosity"", ""annoyance""]","[42.31, 19.23, 15.38]",[],"[""approval""]","[""curiosity"", ""annoyance""]","[""approval (moderata: 42.31%)"", ""curiosity (debole: 19.23%)"", ""annoyance (debole: 15.38%)""]"
Handarand,"[""approval"", ""curiosity"", ""admiration""]","[29.17, 25.0, 12.5]",[],"[""approval"", ""curiosity""]","[""admiration""]","[""approval (moderata: 29.17%)"", ""curiosity (moderata: 25.00%)"", ""admiration (debole: 12.50%)""]"
Hapte,"[""curiosity"", ""approval"", ""confusion""]","[42.31, 34.62, 19.23]",[],"[""curiosity"", ""approval""]","[""confusion""]","[""curiosity (moderata: 42.31%)"", ""approval (moderata: 34.62%)"", ""confusion (debole: 19.23%)""]"
HastyCapablanca,"[""admiration"", ""disgust"", ""approval""]","[29.63, 25.93, 22.22]",[],"[""admiration"", ""disgust""]","[""approval""]","[""admiration (moderata: 29.63%)"", ""disgust (moderata: 25.93%)"", ""approval (debole: 22.22%)""]"
HellhoundsOnMyTrail,"[""approval"", ""disapproval"", ""annoyance""]","[32.14, 28.57, 14.29]",[],"[""approval"", ""disapproval""]","[""annoyance""]","[""approval (moderata: 32.14%)"", ""disapproval (moderata: 28.57%)"", ""annoyance (debole: 14.29%)""]"
HellsAttack,"[""approval"", ""annoyance"", ""admiration""]","[23.53, 23.53, 17.65]",[],[],"[""approval"", ""annoyance"", ""admiration""]","[""approval (debole: 23.53%)"", ""annoyance (debole: 23.53%)"", ""admiration (debole: 17.65%)""]"
Herbert-Quain,"[""approval"", ""confusion"", ""caring""]","[40.74, 18.52, 14.81]",[],"[""approval""]","[""confusion"", ""caring""]","[""approval (moderata: 40.74%)"", ""confusion (debole: 18.52%)"", ""caring (debole: 14.81%)""]"
HereEveryDay,"[""annoyance"", ""disgust"", ""approval""]","[32.0, 24.0, 20.0]",[],"[""annoyance""]","[""disgust"", ""approval""]","[""annoyance (moderata: 32.00%)"", ""disgust (debole: 24.00%)"", ""approval (debole: 20.00%)""]"
Highly-Sammable,"[""approval"", ""disapproval"", ""annoyance""]","[33.33, 20.83, 20.83]",[],"[""approval""]","[""disapproval"", ""annoyance""]","[""approval (moderata: 33.33%)"", ""disapproval (debole: 20.83%)"", ""annoyance (debole: 20.83%)""]"
HipHoptimusPrime13,"[""approval"", ""curiosity"", ""disapproval""]","[36.36, 22.73, 18.18]",[],"[""approval""]","[""curiosity"", ""disapproval""]","[""approval (moderata: 36.36%)"", ""curiosity (debole: 22.73%)"", ""disapproval (debole: 18.18%)""]"
HippeHoppe,"[""fear"", ""love"", ""disgust""]","[53.57, 46.43, 42.86]","[""fear""]","[""love"", ""disgust""]",[],"[""fear (forte: 53.57%)"", ""love (moderata: 46.43%)"", ""disgust (moderata: 42.86%)""]"
Holophonist,"[""disapproval"", ""annoyance"", ""approval""]","[48.15, 40.74, 29.63]",[],"[""disapproval"", ""annoyance"", ""approval""]",[],"[""disapproval (moderata: 48.15%)"", ""annoyance (moderata: 40.74%)"", ""approval (moderata: 29.63%)""]"
Holy_God_Emperor,"[""curiosity"", ""gratitude"", ""approval""]","[29.63, 22.22, 18.52]",[],"[""curiosity""]","[""gratitude"", ""approval""]","[""curiosity (moderata: 29.63%)"", ""gratitude (debole: 22.22%)"", ""approval (debole: 18.52%)""]"
HomarusSimpson,"[""approval"", ""confusion"", ""curiosity""]","[28.0, 16.0, 16.0]",[],"[""approval""]","[""confusion"", ""curiosity""]","[""approval (moderata: 28.00%)"", ""confusion (debole: 16.00%)"", ""curiosity (debole: 16.00%)""]"
Hortusecclesiae,"[""curiosity"", ""approval"", ""disapproval""]","[26.92, 23.08, 23.08]",[],"[""curiosity""]","[""approval"", ""disapproval""]","[""curiosity (moderata: 26.92%)"", ""approval (debole: 23.08%)"", ""disapproval (debole: 23.08%)""]"
Hotel_Joy,"[""approval"", ""gratitude"", ""confusion""]","[20.83, 20.83, 16.67]",[],[],"[""approval"", ""gratitude"", ""confusion""]","[""approval (debole: 20.83%)"", ""gratitude (debole: 20.83%)"", ""confusion (debole: 16.67%)""]"
Hsnjllfrqi,"[""admiration"", ""approval"", ""annoyance""]","[25.0, 25.0, 20.83]",[],"[""admiration"", ""approval""]","[""annoyance""]","[""admiration (moderata: 25.00%)"", ""approval (moderata: 25.00%)"", ""annoyance (debole: 20.83%)""]"
Human_Paladin,"[""curiosity"", ""annoyance"", ""excitement""]","[30.43, 17.39, 17.39]",[],"[""curiosity""]","[""annoyance"", ""excitement""]","[""curiosity (moderata: 30.43%)"", ""annoyance (debole: 17.39%)"", ""excitement (debole: 17.39%)""]"
Hysteric_Blue,"[""disapproval"", ""annoyance"", ""disgust""]","[30.0, 26.67, 26.67]",[],"[""disapproval"", ""annoyance"", ""disgust""]",[],"[""disapproval (moderata: 30.00%)"", ""annoyance (moderata: 26.67%)"", ""disgust (moderata: 26.67%)""]"
INFJediHatesSand,"[""approval"", ""disgust"", ""annoyance""]","[33.33, 25.0, 20.83]",[],"[""approval"", ""disgust""]","[""annoyance""]","[""approval (moderata: 33.33%)"", ""disgust (moderata: 25.00%)"", ""annoyance (debole: 20.83%)""]"
IPLaYtoWiN,"[""approval"", ""love"", ""curiosity""]","[33.33, 18.52, 18.52]",[],"[""approval""]","[""love"", ""curiosity""]","[""approval (moderata: 33.33%)"", ""love (debole: 18.52%)"", ""curiosity (debole: 18.52%)""]"
IPv8,"[""approval"", ""confusion"", ""admiration""]","[26.92, 19.23, 15.38]",[],"[""approval""]","[""confusion"", ""admiration""]","[""approval (moderata: 26.92%)"", ""confusion (debole: 19.23%)"", ""admiration (debole: 15.38%)""]"
I_Am_A_Polite_A-hole,"[""approval"", ""admiration"", ""disgust""]","[32.0, 16.0, 16.0]",[],"[""approval""]","[""admiration"", ""disgust""]","[""approval (moderata: 32.00%)"", ""admiration (debole: 16.00%)"", ""disgust (debole: 16.00%)""]"
I_I_Z_I_I,"[""curiosity"", ""approval"", ""disapproval""]","[25.93, 22.22, 14.81]",[],"[""curiosity""]","[""approval"", ""disapproval""]","[""curiosity (moderata: 25.93%)"", ""approval (debole: 22.22%)"", ""disapproval (debole: 14.81%)""]"
I_Photoshop_Movies,"[""annoyance"", ""anger"", ""disapproval""]","[33.33, 29.17, 20.83]",[],"[""annoyance"", ""anger""]","[""disapproval""]","[""annoyance (moderata: 33.33%)"", ""anger (moderata: 29.17%)"", ""disapproval (debole: 20.83%)""]"
I_found_BACON,"[""approval"", ""annoyance"", ""disapproval""]","[28.0, 24.0, 20.0]",[],"[""approval""]","[""annoyance"", ""disapproval""]","[""approval (moderata: 28.00%)"", ""annoyance (debole: 24.00%)"", ""disapproval (debole: 20.00%)""]"
I_hate_kittens_,"[""annoyance"", ""approval"", ""love""]","[23.08, 19.23, 19.23]",[],[],"[""annoyance"", ""approval"", ""love""]","[""annoyance (debole: 23.08%)"", ""approval (debole: 19.23%)"", ""love (debole: 19.23%)""]"
Ichanoggin,"[""curiosity"", ""approval"", ""gratitude""]","[26.09, 17.39, 13.04]",[],"[""curiosity""]","[""approval"", ""gratitude""]","[""curiosity (moderata: 26.09%)"", ""approval (debole: 17.39%)"", ""gratitude (debole: 13.04%)""]"
Imhullu,"[""disapproval"", ""approval"", ""confusion""]","[24.0, 24.0, 20.0]",[],[],"[""disapproval"", ""approval"", ""confusion""]","[""disapproval (debole: 24.00%)"", ""approval (debole: 24.00%)"", ""confusion (debole: 20.00%)""]"
Incaendo,"[""admiration"", ""approval"", ""annoyance""]","[32.14, 21.43, 17.86]",[],"[""admiration""]","[""approval"", ""annoyance""]","[""admiration (moderata: 32.14%)"", ""approval (debole: 21.43%)"", ""annoyance (debole: 17.86%)""]"
IndieDiscovery,"[""approval"", ""curiosity"", ""admiration""]","[26.09, 21.74, 17.39]",[],"[""approval""]","[""curiosity"", ""admiration""]","[""approval (moderata: 26.09%)"", ""curiosity (debole: 21.74%)"", ""admiration (debole: 17.39%)""]"
IndustrialSabotage,"[""curiosity"", ""love"", ""disgust""]","[37.04, 18.52, 18.52]",[],"[""curiosity""]","[""love"", ""disgust""]","[""curiosity (moderata: 37.04%)"", ""love (debole: 18.52%)"", ""disgust (debole: 18.52%)""]"
InfluxWaver,"[""approval"", ""disgust"", ""love""]","[36.0, 28.0, 16.0]",[],"[""approval"", ""disgust""]","[""love""]","[""approval (moderata: 36.00%)"", ""disgust (moderata: 28.00%)"", ""love (debole: 16.00%)""]"
InformalCriticism,"[""confusion"", ""disapproval"", ""curiosity""]","[25.0, 25.0, 17.86]",[],"[""confusion"", ""disapproval""]","[""curiosity""]","[""confusion (moderata: 25.00%)"", ""disapproval (moderata: 25.00%)"", ""curiosity (debole: 17.86%)""]"
Interested-Koala,"[""curiosity"", ""anger"", ""amusement""]","[33.33, 20.83, 20.83]",[],"[""curiosity""]","[""anger"", ""amusement""]","[""curiosity (moderata: 33.33%)"", ""anger (debole: 20.83%)"", ""amusement (debole: 20.83%)""]"
InternetDude19,"[""admiration"", ""disgust"", ""love""]","[31.58, 21.05, 15.79]",[],"[""admiration""]","[""disgust"", ""love""]","[""admiration (moderata: 31.58%)"", ""disgust (debole: 21.05%)"", ""love (debole: 15.79%)""]"
Invisiblechimp,"[""approval"", ""annoyance"", ""curiosity""]","[28.57, 19.05, 14.29]",[],"[""approval""]","[""annoyance"", ""curiosity""]","[""approval (moderata: 28.57%)"", ""annoyance (debole: 19.05%)"", ""curiosity (debole: 14.29%)""]"
IronHeights24,"[""curiosity"", ""approval"", ""disapproval""]","[33.33, 25.0, 20.83]",[],"[""curiosity"", ""approval""]","[""disapproval""]","[""curiosity (moderata: 33.33%)"", ""approval (moderata: 25.00%)"", ""disapproval (debole: 20.83%)""]"
Irstas_sika,"[""curiosity"", ""confusion"", ""annoyance""]","[42.11, 26.32, 21.05]",[],"[""curiosity"", ""confusion""]","[""annoyance""]","[""curiosity (moderata: 42.11%)"", ""confusion (moderata: 26.32%)"", ""annoyance (debole: 21.05%)""]"
Ishtarrr,"[""gratitude"", ""caring"", ""disapproval""]","[40.0, 30.0, 16.67]",[],"[""gratitude"", ""caring""]","[""disapproval""]","[""gratitude (moderata: 40.00%)"", ""caring (moderata: 30.00%)"", ""disapproval (debole: 16.67%)""]"
Isrslylikecutegirls,"[""approval"", ""admiration"", ""disapproval""]","[40.74, 25.93, 18.52]",[],"[""approval"", ""admiration""]","[""disapproval""]","[""approval (moderata: 40.74%)"", ""admiration (moderata: 25.93%)"", ""disapproval (debole: 18.52%)""]"
Ithilielk,"[""admiration"", ""annoyance"", ""disgust""]","[22.22, 18.52, 18.52]",[],[],"[""admiration"", ""annoyance"", ""disgust""]","[""admiration (debole: 22.22%)"", ""annoyance (debole: 18.52%)"", ""disgust (debole: 18.52%)""]"
Itsnotadeathglare,"[""disgust"", ""annoyance"", ""approval""]","[51.72, 37.93, 31.03]","[""disgust""]","[""annoyance"", ""approval""]",[],"[""disgust (forte: 51.72%)"", ""annoyance (moderata: 37.93%)"", ""approval (moderata: 31.03%)""]"
Ivan_1073,"[""approval"", ""curiosity"", ""love""]","[43.48, 21.74, 21.74]",[],"[""approval""]","[""curiosity"", ""love""]","[""approval (moderata: 43.48%)"", ""curiosity (debole: 21.74%)"", ""love (debole: 21.74%)""]"
JMB-X,"[""anger"", ""curiosity"", ""joy""]","[25.0, 17.86, 17.86]",[],"[""anger""]","[""curiosity"", ""joy""]","[""anger (moderata: 25.00%)"", ""curiosity (debole: 17.86%)"", ""joy (debole: 17.86%)""]"
Jaamikohvik,"[""approval"", ""annoyance"", ""curiosity""]","[41.67, 20.83, 20.83]",[],"[""approval""]","[""annoyance"", ""curiosity""]","[""approval (moderata: 41.67%)"", ""annoyance (debole: 20.83%)"", ""curiosity (debole: 20.83%)""]"
JaceOlsana,"[""disgust"", ""love"", ""approval""]","[28.57, 25.0, 25.0]",[],"[""disgust"", ""love"", ""approval""]",[],"[""disgust (moderata: 28.57%)"", ""love (moderata: 25.00%)"", ""approval (moderata: 25.00%)""]"
JackWilfred,"[""approval"", ""curiosity"", ""admiration""]","[42.31, 26.92, 23.08]",[],"[""approval"", ""curiosity""]","[""admiration""]","[""approval (moderata: 42.31%)"", ""curiosity (moderata: 26.92%)"", ""admiration (debole: 23.08%)""]"
Jalapeno_Tom,"[""annoyance"", ""disgust"", ""approval""]","[34.48, 34.48, 24.14]",[],"[""annoyance"", ""disgust""]","[""approval""]","[""annoyance (moderata: 34.48%)"", ""disgust (moderata: 34.48%)"", ""approval (debole: 24.14%)""]"
Janfox,"[""curiosity"", ""realization"", ""approval""]","[34.78, 21.74, 17.39]",[],"[""curiosity""]","[""realization"", ""approval""]","[""curiosity (moderata: 34.78%)"", ""realization (debole: 21.74%)"", ""approval (debole: 17.39%)""]"
Japaliicious,"[""approval"", ""disapproval"", ""curiosity""]","[36.0, 24.0, 20.0]",[],"[""approval""]","[""disapproval"", ""curiosity""]","[""approval (moderata: 36.00%)"", ""disapproval (debole: 24.00%)"", ""curiosity (debole: 20.00%)""]"
Jaydee780,"[""confusion"", ""disapproval"", ""annoyance""]","[25.0, 25.0, 21.43]",[],"[""confusion"", ""disapproval""]","[""annoyance""]","[""confusion (moderata: 25.00%)"", ""disapproval (moderata: 25.00%)"", ""annoyance (debole: 21.43%)""]"
Jeis75,"[""curiosity"", ""approval"", ""confusion""]","[29.17, 20.83, 20.83]",[],"[""curiosity""]","[""approval"", ""confusion""]","[""curiosity (moderata: 29.17%)"", ""approval (debole: 20.83%)"", ""confusion (debole: 20.83%)""]"
Jell-oHammer,"[""admiration"", ""approval"", ""gratitude""]","[43.48, 17.39, 13.04]",[],"[""admiration""]","[""approval"", ""gratitude""]","[""admiration (moderata: 43.48%)"", ""approval (debole: 17.39%)"", ""gratitude (debole: 13.04%)""]"
Jennica,"[""curiosity"", ""disapproval"", ""admiration""]","[38.46, 26.92, 11.54]",[],"[""curiosity"", ""disapproval""]","[""admiration""]","[""curiosity (moderata: 38.46%)"", ""disapproval (moderata: 26.92%)"", ""admiration (debole: 11.54%)""]"
Jes60917,"[""curiosity"", ""approval"", ""admiration""]","[24.0, 24.0, 20.0]",[],[],"[""curiosity"", ""approval"", ""admiration""]","[""curiosity (debole: 24.00%)"", ""approval (debole: 24.00%)"", ""admiration (debole: 20.00%)""]"
Jlmjiggy,"[""approval"", ""curiosity"", ""admiration""]","[37.5, 25.0, 16.67]",[],"[""approval"", ""curiosity""]","[""admiration""]","[""approval (moderata: 37.50%)"", ""curiosity (moderata: 25.00%)"", ""admiration (debole: 16.67%)""]"
JoaquimJoaquim,"[""curiosity"", ""approval"", ""disapproval""]","[26.92, 15.38, 15.38]",[],"[""curiosity""]","[""approval"", ""disapproval""]","[""curiosity (moderata: 26.92%)"", ""approval (debole: 15.38%)"", ""disapproval (debole: 15.38%)""]"
JohnH_312,"[""approval"", ""admiration"", ""gratitude""]","[28.57, 17.86, 17.86]",[],"[""approval""]","[""admiration"", ""gratitude""]","[""approval (moderata: 28.57%)"", ""admiration (debole: 17.86%)"", ""gratitude (debole: 17.86%)""]"
JohnKog,"[""approval"", ""disgust"", ""annoyance""]","[44.44, 22.22, 18.52]",[],"[""approval""]","[""disgust"", ""annoyance""]","[""approval (moderata: 44.44%)"", ""disgust (debole: 22.22%)"", ""annoyance (debole: 18.52%)""]"
Johnny20022002,"[""curiosity"", ""approval"", ""annoyance""]","[37.5, 31.25, 25.0]",[],"[""curiosity"", ""approval"", ""annoyance""]",[],"[""curiosity (moderata: 37.50%)"", ""approval (moderata: 31.25%)"", ""annoyance (moderata: 25.00%)""]"
JonJonnyJonathan,"[""annoyance"", ""curiosity"", ""disapproval""]","[36.36, 27.27, 18.18]",[],"[""annoyance"", ""curiosity""]","[""disapproval""]","[""annoyance (moderata: 36.36%)"", ""curiosity (moderata: 27.27%)"", ""disapproval (debole: 18.18%)""]"
Jopalopa,"[""curiosity"", ""annoyance"", ""approval""]","[21.43, 17.86, 17.86]",[],[],"[""curiosity"", ""annoyance"", ""approval""]","[""curiosity (debole: 21.43%)"", ""annoyance (debole: 17.86%)"", ""approval (debole: 17.86%)""]"
JordanBPFan,"[""annoyance"", ""approval"", ""disgust""]","[34.62, 26.92, 23.08]",[],"[""annoyance"", ""approval""]","[""disgust""]","[""annoyance (moderata: 34.62%)"", ""approval (moderata: 26.92%)"", ""disgust (debole: 23.08%)""]"
Joshyybaxx,"[""curiosity"", ""approval"", ""annoyance""]","[28.0, 20.0, 16.0]",[],"[""curiosity""]","[""approval"", ""annoyance""]","[""curiosity (moderata: 28.00%)"", ""approval (debole: 20.00%)"", ""annoyance (debole: 16.00%)""]"
Julayyy,"[""approval"", ""disapproval"", ""love""]","[28.57, 23.81, 19.05]",[],"[""approval""]","[""disapproval"", ""love""]","[""approval (moderata: 28.57%)"", ""disapproval (debole: 23.81%)"", ""love (debole: 19.05%)""]"
JunkyGS,"[""annoyance"", ""anger"", ""amusement""]","[19.23, 19.23, 15.38]",[],[],"[""annoyance"", ""anger"", ""amusement""]","[""annoyance (debole: 19.23%)"", ""anger (debole: 19.23%)"", ""amusement (debole: 15.38%)""]"
JusticeTheEnd,"[""annoyance"", ""approval"", ""admiration""]","[25.0, 20.83, 20.83]",[],"[""annoyance""]","[""approval"", ""admiration""]","[""annoyance (moderata: 25.00%)"", ""approval (debole: 20.83%)"", ""admiration (debole: 20.83%)""]"
Jyana,"[""admiration"", ""approval"", ""disgust""]","[36.36, 36.36, 18.18]",[],"[""admiration"", ""approval""]","[""disgust""]","[""admiration (moderata: 36.36%)"", ""approval (moderata: 36.36%)"", ""disgust (debole: 18.18%)""]"
KAWUrban,"[""admiration"", ""annoyance"", ""anger""]","[23.08, 23.08, 15.38]",[],[],"[""admiration"", ""annoyance"", ""anger""]","[""admiration (debole: 23.08%)"", ""annoyance (debole: 23.08%)"", ""anger (debole: 15.38%)""]"
KR4FE,"[""annoyance"", ""disgust"", ""realization""]","[46.15, 34.62, 23.08]",[],"[""annoyance"", ""disgust""]","[""realization""]","[""annoyance (moderata: 46.15%)"", ""disgust (moderata: 34.62%)"", ""realization (debole: 23.08%)""]"
KUZGUN27,"[""curiosity"", ""annoyance"", ""admiration""]","[28.57, 19.05, 19.05]",[],"[""curiosity""]","[""annoyance"", ""admiration""]","[""curiosity (moderata: 28.57%)"", ""annoyance (debole: 19.05%)"", ""admiration (debole: 19.05%)""]"
KapabelSnabel,"[""approval"", ""curiosity"", ""surprise""]","[33.33, 33.33, 19.05]",[],"[""approval"", ""curiosity""]","[""surprise""]","[""approval (moderata: 33.33%)"", ""curiosity (moderata: 33.33%)"", ""surprise (debole: 19.05%)""]"
KayleighM,"[""approval"", ""gratitude"", ""realization""]","[48.28, 24.14, 20.69]",[],"[""approval""]","[""gratitude"", ""realization""]","[""approval (moderata: 48.28%)"", ""gratitude (debole: 24.14%)"", ""realization (debole: 20.69%)""]"
Kazejin0,"[""approval"", ""disgust"", ""caring""]","[50.0, 40.0, 23.33]","[""approval""]","[""disgust""]","[""caring""]","[""approval (forte: 50.00%)"", ""disgust (moderata: 40.00%)"", ""caring (debole: 23.33%)""]"
Kdot-BlackHippy,"[""curiosity"", ""confusion"", ""approval""]","[22.22, 22.22, 22.22]",[],[],"[""curiosity"", ""confusion"", ""approval""]","[""curiosity (debole: 22.22%)"", ""confusion (debole: 22.22%)"", ""approval (debole: 22.22%)""]"
Keajralight,"[""approval"", ""admiration"", ""gratitude""]","[22.73, 18.18, 13.64]",[],[],"[""approval"", ""admiration"", ""gratitude""]","[""approval (debole: 22.73%)"", ""admiration (debole: 18.18%)"", ""gratitude (debole: 13.64%)""]"
KekiKami,"[""curiosity"", ""approval"", ""admiration""]","[34.62, 19.23, 15.38]",[],"[""curiosity""]","[""approval"", ""admiration""]","[""curiosity (moderata: 34.62%)"", ""approval (debole: 19.23%)"", ""admiration (debole: 15.38%)""]"
Kensham,"[""disapproval"", ""admiration"", ""love""]","[38.46, 23.08, 23.08]",[],"[""disapproval""]","[""admiration"", ""love""]","[""disapproval (moderata: 38.46%)"", ""admiration (debole: 23.08%)"", ""love (debole: 23.08%)""]"
Kenshamwow,"[""disapproval"", ""approval"", ""admiration""]","[39.29, 28.57, 28.57]",[],"[""disapproval"", ""approval"", ""admiration""]",[],"[""disapproval (moderata: 39.29%)"", ""approval (moderata: 28.57%)"", ""admiration (moderata: 28.57%)""]"
Kerbogha,"[""disapproval"", ""curiosity"", ""approval""]","[25.93, 22.22, 22.22]",[],"[""disapproval""]","[""curiosity"", ""approval""]","[""disapproval (moderata: 25.93%)"", ""curiosity (debole: 22.22%)"", ""approval (debole: 22.22%)""]"
Khazandr,"[""curiosity"", ""approval"", ""annoyance""]","[27.27, 22.73, 18.18]",[],"[""curiosity""]","[""approval"", ""annoyance""]","[""curiosity (moderata: 27.27%)"", ""approval (debole: 22.73%)"", ""annoyance (debole: 18.18%)""]"
Kicker_986765,"[""approval"", ""caring"", ""annoyance""]","[25.0, 16.67, 12.5]",[],"[""approval""]","[""caring"", ""annoyance""]","[""approval (moderata: 25.00%)"", ""caring (debole: 16.67%)"", ""annoyance (debole: 12.50%)""]"
Kicktoria,"[""approval"", ""admiration"", ""curiosity""]","[40.0, 28.0, 28.0]",[],"[""approval"", ""admiration"", ""curiosity""]",[],"[""approval (moderata: 40.00%)"", ""admiration (moderata: 28.00%)"", ""curiosity (moderata: 28.00%)""]"
KillaMarci,"[""curiosity"", ""disapproval"", ""approval""]","[26.09, 21.74, 17.39]",[],"[""curiosity""]","[""disapproval"", ""approval""]","[""curiosity (moderata: 26.09%)"", ""disapproval (debole: 21.74%)"", ""approval (debole: 17.39%)""]"
KittyMomo,"[""admiration"", ""gratitude"", ""approval""]","[27.59, 20.69, 17.24]",[],"[""admiration""]","[""gratitude"", ""approval""]","[""admiration (moderata: 27.59%)"", ""gratitude (debole: 20.69%)"", ""approval (debole: 17.24%)""]"
Kodiologist,"[""approval"", ""admiration"", ""disapproval""]","[27.27, 22.73, 22.73]",[],"[""approval""]","[""admiration"", ""disapproval""]","[""approval (moderata: 27.27%)"", ""admiration (debole: 22.73%)"", ""disapproval (debole: 22.73%)""]"
Kohflot,"[""approval"", ""curiosity"", ""disapproval""]","[36.36, 18.18, 13.64]",[],"[""approval""]","[""curiosity"", ""disapproval""]","[""approval (moderata: 36.36%)"", ""curiosity (debole: 18.18%)"", ""disapproval (debole: 13.64%)""]"
Kootlefoosh,"[""gratitude"", ""approval"", ""admiration""]","[37.93, 24.14, 17.24]",[],"[""gratitude""]","[""approval"", ""admiration""]","[""gratitude (moderata: 37.93%)"", ""approval (debole: 24.14%)"", ""admiration (debole: 17.24%)""]"
KopiTheKitten,"[""admiration"", ""love"", ""confusion""]","[25.0, 25.0, 20.0]",[],"[""admiration"", ""love""]","[""confusion""]","[""admiration (moderata: 25.00%)"", ""love (moderata: 25.00%)"", ""confusion (debole: 20.00%)""]"
Kranaros,"[""annoyance"", ""disapproval"", ""approval""]","[25.93, 18.52, 18.52]",[],"[""annoyance""]","[""disapproval"", ""approval""]","[""annoyance (moderata: 25.93%)"", ""disapproval (debole: 18.52%)"", ""approval (debole: 18.52%)""]"
Kreindeker,"[""approval"", ""admiration"", ""optimism""]","[32.0, 20.0, 20.0]",[],"[""approval""]","[""admiration"", ""optimism""]","[""approval (moderata: 32.00%)"", ""admiration (debole: 20.00%)"", ""optimism (debole: 20.00%)""]"
KristianJ17,"[""disgust"", ""gratitude"", ""approval""]","[27.59, 24.14, 20.69]",[],"[""disgust""]","[""gratitude"", ""approval""]","[""disgust (moderata: 27.59%)"", ""gratitude (debole: 24.14%)"", ""approval (debole: 20.69%)""]"
Kuerbel,"[""curiosity"", ""anger"", ""admiration""]","[40.74, 33.33, 22.22]",[],"[""curiosity"", ""anger""]","[""admiration""]","[""curiosity (moderata: 40.74%)"", ""anger (moderata: 33.33%)"", ""admiration (debole: 22.22%)""]"
LADataJunkie,"[""approval"", ""optimism"", ""realization""]","[33.33, 20.0, 20.0]",[],"[""approval""]","[""optimism"", ""realization""]","[""approval (moderata: 33.33%)"", ""optimism (debole: 20.00%)"", ""realization (debole: 20.00%)""]"
LRE,"[""admiration"", ""approval"", ""disapproval""]","[17.86, 17.86, 17.86]",[],[],"[""admiration"", ""approval"", ""disapproval""]","[""admiration (debole: 17.86%)"", ""approval (debole: 17.86%)"", ""disapproval (debole: 17.86%)""]"
LaV-Man,"[""approval"", ""annoyance"", ""disapproval""]","[45.45, 31.82, 18.18]",[],"[""approval"", ""annoyance""]","[""disapproval""]","[""approval (moderata: 45.45%)"", ""annoyance (moderata: 31.82%)"", ""disapproval (debole: 18.18%)""]"
Laafheid,"[""annoyance"", ""curiosity"", ""approval""]","[26.92, 23.08, 19.23]",[],"[""annoyance""]","[""curiosity"", ""approval""]","[""annoyance (moderata: 26.92%)"", ""curiosity (debole: 23.08%)"", ""approval (debole: 19.23%)""]"
Lancet,"[""approval"", ""annoyance"", ""surprise""]","[22.73, 18.18, 18.18]",[],[],"[""approval"", ""annoyance"", ""surprise""]","[""approval (debole: 22.73%)"", ""annoyance (debole: 18.18%)"", ""surprise (debole: 18.18%)""]"
Lastrevio,"[""approval"", ""admiration"", ""caring""]","[36.84, 26.32, 15.79]",[],"[""approval"", ""admiration""]","[""caring""]","[""approval (moderata: 36.84%)"", ""admiration (moderata: 26.32%)"", ""caring (debole: 15.79%)""]"
Laurencolella,"[""approval"", ""admiration"", ""caring""]","[46.43, 28.57, 17.86]",[],"[""approval"", ""admiration""]","[""caring""]","[""approval (moderata: 46.43%)"", ""admiration (moderata: 28.57%)"", ""caring (debole: 17.86%)""]"
LeChubRub,"[""curiosity"", ""approval"", ""amusement""]","[25.0, 25.0, 17.86]",[],"[""curiosity"", ""approval""]","[""amusement""]","[""curiosity (moderata: 25.00%)"", ""approval (moderata: 25.00%)"", ""amusement (debole: 17.86%)""]"
LearningMan,"[""admiration"", ""annoyance"", ""approval""]","[20.83, 20.83, 16.67]",[],[],"[""admiration"", ""annoyance"", ""approval""]","[""admiration (debole: 20.83%)"", ""annoyance (debole: 20.83%)"", ""approval (debole: 16.67%)""]"
